	age	household_position	household_size	prev_residence_place	citizenship	country_birth	edu_level	economic_status	cur_eco_activity	Marital_status
64	11	1121	112	1	1	1	3	111	138	2
65	7	1121	112	2	1	1	5	111	124	2
66	11	1210	111	1	2	2	5	111	137	4
67	9	1122	114	1	1	3	2	111	131	2
68	8	1122	114	1	1	1	3	111	131	2
69	11	1210	111	1	1	1	5	111	136	3
70	9	1131	112	1	1	1	2	111	134	4
71	11	1121	112	1	1	1	1	120	131	2
72	9	1220	112	1	1	1	5	111	135	1
73	7	1131	112	1	1	1	3	111	133	1
74	12	1122	113	1	1	1	1	111	122	2
75	8	1122	113	1	1	1	4	111	136	2
76	8	1122	125	1	1	1	5	111	131	2
77	6	1122	114	1	2	2	3	120	135	2
78	4	1210	111	2	3	3	2	111	131	1
79	13	1121	112	1	1	1	3	120	111	2
80	4	1110	113	1	1	1	1	112	135	1
81	8	1210	111	1	1	1	5	111	138	1
82	7	1140	113	1	1	2	1	111	137	4
83	5	1110	114	1	1	1	3	112	135	1
84	10	1122	113	1	1	1	3	111	131	2
85	7	1210	111	1	1	1	5	111	138	1
86	5	1110	125	1	1	1	3	112	132	1
87	5	1110	125	1	1	1	3	111	138	1
88	7	1122	114	1	1	1	3	111	135	2
89	8	1122	114	1	1	1	4	111	132	2
90	5	1131	112	1	1	1	3	111	139	1
91	8	1122	114	1	1	1	3	111	131	2
92	10	1122	126	1	1	1	5	111	137	2
93	8	1122	114	1	1	1	5	111	138	2
94	10	1122	114	1	1	1	3	111	138	2
95	4	1110	125	1	1	1	0	112	132	1
96	7	1122	114	1	1	1	5	111	135	2
97	11	1210	111	1	1	1	5	111	137	4
98	9	1122	114	1	2	2	0	111	135	2
99	6	1131	112	1	1	1	5	111	136	1
100	8	1122	114	1	1	1	5	111	135	2
101	12	1121	112	1	1	1	1	111	131	2
102	9	1132	114	1	1	1	5	111	135	1
103	9	1122	114	1	1	1	5	111	133	2
104	7	1122	113	1	1	1	5	111	136	2
105	6	1210	111	1	1	1	5	111	139	1
106	10	1122	114	1	1	1	5	111	134	2
107	8	1132	114	1	1	1	3	111	122	1
108	8	1122	114	1	1	1	5	111	137	2
109	10	1122	125	1	1	1	5	111	137	2
110	6	1121	112	1	1	1	3	111	139	2
111	12	1121	112	1	1	1	1	111	131	2
112	9	1121	112	1	1	1	5	111	137	2
113	7	1121	113	1	1	1	3	111	135	2
114	7	1122	114	1	1	1	5	111	139	2
115	10	1122	125	1	1	1	1	111	122	2
116	6	1132	113	1	1	1	5	111	122	1
117	6	1122	126	1	1	1	3	111	138	2
118	7	1122	114	1	1	1	3	111	138	2
119	11	1121	112	1	1	1	3	111	133	2
120	9	1122	114	1	1	1	5	111	136	2
121	8	1122	125	1	1	1	3	111	138	2
122	12	1131	112	1	1	1	5	111	137	4
123	7	1131	112	1	1	1	5	111	136	1
124	8	1122	114	1	1	1	3	111	133	2
125	13	1121	112	1	1	1	2	111	134	2
126	10	1122	114	1	1	1	5	111	137	2
127	7	1132	113	1	1	1	2	111	122	1
128	8	1122	125	1	1	3	5	111	139	2
129	12	1121	112	1	1	1	2	111	137	2
130	11	1122	113	1	1	1	2	111	124	2
131	10	1131	112	1	1	1	3	111	135	1
132	8	1121	112	1	1	1	3	120	135	2
133	7	1121	112	1	2	2	1	111	131	2
134	11	1121	112	1	1	1	5	111	137	2
135	4	1110	114	1	1	1	3	112	131	1
136	4	1110	113	1	1	1	2	112	131	1
137	10	1122	125	1	1	1	3	111	134	2
138	9	1132	114	1	1	1	5	111	135	1
139	9	1122	113	1	1	1	5	111	137	2
140	7	1210	111	1	1	1	5	111	136	1
141	9	1122	113	1	1	1	3	111	135	2
142	8	1122	113	1	1	1	1	111	135	2
143	11	1121	112	1	1	1	2	120	111	2
144	7	1122	113	1	1	1	2	111	138	2
145	4	1110	125	1	1	1	3	112	131	1
146	7	1131	112	1	1	1	5	111	135	1
147	8	1210	111	1	1	1	5	111	122	1
148	6	1210	111	2	1	1	3	111	133	4
149	5	1121	112	1	1	1	3	111	138	2
150	10	1122	113	1	1	1	3	111	131	2
151	8	1132	125	2	1	1	1	111	131	4
152	8	1122	125	1	1	1	4	111	138	2
153	5	1110	113	1	1	1	3	111	124	1
154	5	1210	111	1	1	1	3	111	131	1
155	9	1122	125	1	1	1	3	111	137	2
156	10	1122	126	1	1	1	5	111	138	2
157	6	1122	114	1	1	1	3	111	139	2
158	4	1110	125	1	1	1	3	111	139	1
159	10	1121	112	1	1	1	3	111	138	2
160	6	1131	112	1	1	1	4	111	134	1
161	5	1121	112	1	1	1	5	112	131	2
162	11	1122	113	1	1	1	2	120	131	2
163	11	1122	114	1	1	3	3	111	138	2
164	5	1110	113	1	1	1	3	111	136	1
165	7	1122	113	1	1	1	5	111	136	2
166	7	1122	114	1	1	1	2	111	135	2
167	5	1122	113	1	1	1	1	111	138	2
168	11	1122	114	1	1	1	2	111	133	2
169	11	1122	113	1	1	1	2	120	111	2
170	11	1122	113	1	1	1	5	111	137	2
171	4	1110	113	1	1	1	3	112	131	1
172	6	1210	111	1	1	1	5	111	135	1
173	10	1122	125	1	1	1	3	111	136	2
174	10	1122	113	1	1	1	2	111	122	2
175	4	1131	112	2	1	1	3	111	135	1
176	6	1122	113	1	1	1	3	120	132	2
177	10	1132	114	1	1	1	2	111	122	4
178	8	1121	112	1	1	1	3	111	136	2
179	10	1121	112	1	1	1	2	111	136	2
180	11	1121	112	2	1	1	2	111	135	2
181	9	1140	114	1	1	1	4	120	138	4
182	9	1210	111	1	1	1	5	111	135	1
183	6	1210	111	1	1	1	3	112	131	1
184	5	1121	113	1	1	1	3	111	131	2
185	12	1210	111	1	1	1	1	111	122	4
186	11	1122	125	1	1	1	5	120	137	2
187	5	1110	114	1	1	1	3	111	135	1
188	4	1110	114	1	1	1	2	112	131	1
189	10	1122	113	1	1	1	5	111	137	2
190	8	1122	114	1	1	1	5	111	135	2
191	6	1122	114	1	1	3	3	111	136	2
192	11	1122	114	1	1	1	2	111	135	2
193	12	1121	112	1	1	1	2	111	131	2
194	8	1210	111	1	1	1	5	111	138	1
195	5	1210	111	1	1	1	2	111	134	1
196	5	1110	114	1	1	1	3	111	135	1
197	5	1110	114	1	1	1	3	111	138	1
198	5	1110	125	1	1	1	2	111	136	1
199	10	1121	112	1	1	1	2	111	122	2
200	7	1122	114	1	1	1	3	111	131	2
201	6	1131	112	1	1	1	5	111	135	1
202	7	1122	114	1	1	1	3	111	135	2
203	12	1121	112	1	1	1	3	111	135	2
204	8	1122	125	1	1	1	2	111	131	2
205	9	1121	112	1	1	1	3	111	122	2
206	9	1122	114	1	1	1	3	111	131	2
207	5	1122	114	1	2	2	3	111	131	2
208	8	1210	111	1	1	1	5	111	138	1
209	7	1131	112	1	1	1	3	111	135	1
210	8	1122	126	1	1	1	3	111	135	2
211	11	1121	112	1	1	1	3	120	135	2
212	7	1122	114	1	1	1	3	120	137	2
213	9	1122	114	1	1	1	3	111	131	2
214	9	1122	114	1	1	1	2	111	122	2
215	7	1122	113	1	2	2	3	111	133	2
216	12	1122	125	1	1	1	2	120	111	2
217	8	1132	113	1	1	1	5	111	135	1
218	9	1122	114	1	1	1	2	111	133	2
219	10	1122	125	1	1	1	3	111	136	2
220	11	1122	113	1	1	1	3	111	138	2
221	8	1122	114	1	1	1	4	111	136	2
222	5	1110	114	1	1	1	3	112	132	1
223	8	1122	114	1	1	1	3	111	132	2
224	7	1210	111	1	1	1	5	111	135	1
225	9	1122	113	1	1	1	5	111	131	2
226	6	1210	111	1	1	1	4	111	136	1
227	5	1110	126	1	1	1	3	111	138	1
228	11	1121	112	1	1	1	2	111	133	2
229	11	1122	113	1	1	1	2	111	138	2
230	10	1122	113	1	1	1	2	111	122	2
231	10	1140	114	1	1	1	3	111	124	3
232	5	1110	125	1	1	1	2	111	131	1
233	12	1220	125	1	1	1	1	111	122	2
234	7	1122	126	1	1	1	5	111	137	2
235	10	1122	113	1	1	1	3	111	134	2
236	7	1121	112	1	1	1	5	111	138	2
237	5	1131	112	1	1	1	4	112	134	1
238	12	1121	112	1	1	1	1	111	138	2
239	6	1220	113	1	1	3	2	111	135	4
240	9	1131	112	1	1	1	2	111	122	4
241	7	1131	112	2	1	1	5	111	135	1
242	7	1210	111	1	1	1	5	111	138	1
243	10	1122	114	1	1	1	2	111	135	2
244	10	1122	114	1	1	1	5	111	135	2
245	9	1122	113	1	1	1	5	111	131	2
246	7	1131	112	1	1	1	5	111	131	1
247	8	1122	113	1	1	1	5	111	138	2
248	10	1122	125	1	1	1	5	111	137	2
249	10	1122	114	1	1	1	2	111	134	2
250	8	1122	113	1	1	1	5	111	133	2
251	9	1122	114	1	1	3	5	111	134	2
252	6	1121	112	1	1	1	3	111	138	2
253	8	1122	114	1	1	1	5	120	135	2
254	9	1132	114	1	1	1	5	111	138	1
255	4	1110	114	1	1	1	3	112	138	1
256	4	1110	114	1	1	1	3	111	131	1
257	8	1122	113	1	1	1	1	111	122	2
258	8	1122	125	1	1	1	2	111	131	2
259	9	1122	114	1	1	1	3	111	134	2
260	8	1122	114	1	1	1	2	111	135	2
261	7	1122	114	1	1	1	5	111	131	2
262	9	1210	111	1	1	1	3	111	122	1
263	7	1132	114	1	1	1	5	111	138	1
264	5	1131	112	1	1	1	3	111	138	1
265	9	1122	114	1	1	1	2	111	133	2
266	12	1121	112	1	1	1	5	111	137	2
267	9	1122	113	1	1	1	3	111	131	2
268	6	1210	111	1	1	1	3	111	131	1
269	10	1210	111	1	1	1	2	111	133	4
270	10	1122	113	1	1	1	3	120	131	2
271	10	1122	114	1	1	1	2	111	138	2
272	8	1122	125	1	1	1	1	111	137	2
273	5	1110	114	1	1	1	3	111	131	1
274	10	1122	113	1	1	1	2	111	135	2
275	9	1122	125	1	1	1	2	111	122	2
276	10	1122	114	1	1	1	5	120	135	2
277	11	1121	112	1	1	1	3	111	131	2
278	11	1122	113	1	1	1	2	111	131	2
279	11	1122	113	1	1	1	3	111	122	2
280	13	1210	111	1	1	1	2	120	111	1
281	4	1110	125	1	1	1	2	112	132	1
282	5	1110	113	1	1	1	2	112	132	1
283	7	1210	111	1	1	1	5	111	131	1
284	12	1122	114	1	1	1	2	111	124	2
285	11	1121	112	1	1	1	3	111	131	2
286	7	1121	112	1	1	1	2	111	132	2
287	8	1122	114	1	1	1	3	111	134	2
288	10	1122	125	1	1	1	4	111	131	2
289	7	1121	112	1	1	1	2	111	122	2
290	4	1110	114	1	1	1	3	111	131	1
291	7	1210	111	1	1	1	5	111	137	1
292	5	1110	114	1	1	3	4	112	133	1
293	8	1122	113	1	1	1	2	111	122	2
294	10	1122	114	1	1	1	5	111	138	2
295	13	1121	112	1	1	1	3	111	135	2
296	12	1131	112	1	1	1	1	111	138	1
297	10	1122	114	1	1	1	3	111	138	2
298	9	1122	114	1	1	1	1	111	136	2
299	6	1121	112	1	1	1	5	111	135	2
300	8	1131	112	1	1	1	2	111	135	1
301	11	1122	114	1	1	1	4	111	136	2
302	9	1122	125	1	1	1	1	111	137	2
303	11	1121	112	1	1	1	1	111	122	2
304	11	1122	113	1	1	3	1	120	131	2
305	9	1140	112	1	1	1	3	111	135	4
306	9	1122	114	1	1	1	2	111	122	2
307	11	1121	112	1	1	1	5	111	137	2
308	8	1121	112	1	1	1	4	111	133	2
309	8	1122	114	1	1	1	3	111	122	2
310	6	1110	113	1	1	1	3	111	135	1
311	12	1121	112	1	1	1	3	111	136	2
312	10	1122	114	1	1	1	1	111	122	2
313	12	1122	113	1	1	1	5	111	137	2
314	11	1122	113	1	1	1	5	111	137	2
315	12	1210	111	1	1	1	5	111	137	3
316	8	1122	114	2	1	1	5	111	137	2
317	8	1122	114	1	1	1	3	111	135	2
318	4	1220	113	2	1	1	0	111	131	1
319	8	1132	113	1	1	1	5	111	133	1
320	12	1122	114	1	1	1	2	120	139	2
321	7	1122	113	1	1	1	3	120	124	2
322	9	1122	114	1	1	1	2	111	122	2
323	7	1210	111	1	2	1	3	111	124	1
324	7	1131	112	1	1	1	5	120	134	1
325	11	1122	113	1	1	1	3	120	131	2
326	10	1122	114	1	1	1	3	111	134	2
327	10	1132	113	1	1	3	3	111	132	4
328	12	1121	112	1	1	1	3	111	136	2
329	9	1210	111	1	1	1	4	111	134	1
330	6	1121	112	1	1	1	3	111	122	2
331	7	1122	114	1	1	1	3	111	138	2
332	8	1132	113	1	1	1	5	111	136	1
333	5	1210	111	1	1	1	3	111	139	1
334	12	1210	111	1	1	1	2	111	135	4
335	5	1110	114	1	1	1	3	111	135	1
336	4	1110	125	1	1	1	2	112	131	1
337	12	1122	114	1	1	1	3	111	131	2
338	6	1131	112	1	1	1	5	111	122	1
339	10	1122	125	1	1	1	5	111	135	2
340	10	1122	114	1	2	3	5	111	135	2
341	11	1121	112	1	1	1	3	111	134	2
342	8	1122	126	1	1	1	3	111	138	2
343	9	1122	125	1	1	1	2	111	138	2
344	12	1122	113	1	1	2	1	111	138	2
345	7	1121	112	1	1	1	2	111	122	2
346	7	1121	112	1	1	1	5	111	137	2
347	6	1121	112	1	1	1	5	111	138	2
348	12	1140	112	1	1	1	3	111	122	4
349	10	1122	126	1	1	3	1	111	134	2
350	10	1121	112	1	1	1	3	111	133	2
351	10	1122	126	1	1	1	3	111	122	2
352	10	1140	114	1	1	1	3	111	131	4
353	5	1131	112	2	1	1	5	111	138	1
354	9	1122	113	1	1	3	1	111	135	2
355	8	1210	111	1	1	1	1	111	136	1
356	12	1210	111	1	1	1	5	111	138	4
357	7	1131	112	1	1	1	2	111	135	4
358	9	1122	114	1	1	1	3	111	122	2
359	4	1110	113	1	1	1	3	112	135	1
360	5	1131	112	1	1	1	3	111	131	1
361	10	1122	114	1	1	1	3	111	122	2
362	7	1122	125	1	1	1	3	120	111	2
363	8	1140	112	1	1	1	2	111	138	1
364	11	1121	112	1	1	1	5	111	138	2
365	11	1122	125	1	1	1	3	120	111	2
366	5	1110	112	1	1	1	3	111	135	1
367	11	1210	111	1	1	1	5	111	137	4
368	4	1110	113	1	1	1	1	111	132	1
369	7	1122	113	1	1	1	2	120	132	2
370	8	1121	112	2	1	1	5	111	135	2
371	8	1122	125	1	1	1	3	111	111	2
372	4	1110	114	1	1	1	2	112	135	1
373	7	1122	126	1	1	1	5	111	138	2
374	5	1110	114	1	1	1	3	111	131	1
375	6	1121	112	1	1	1	5	111	135	2
376	7	1131	112	1	1	1	5	111	138	1
377	9	1210	111	1	1	1	5	111	134	4
378	9	1122	114	1	1	1	5	111	122	2
379	4	1110	113	1	1	1	1	112	131	1
380	6	1121	112	1	1	1	3	111	138	2
381	6	1210	111	1	1	1	3	111	131	1
382	10	1121	112	1	1	1	2	111	122	2
383	8	1210	111	1	1	1	2	111	131	1
384	9	1122	114	1	1	1	3	111	139	2
385	11	1121	112	1	1	1	2	111	131	2
386	7	1110	114	1	1	1	3	111	131	1
387	4	1110	114	1	1	1	2	112	131	1
388	11	1122	114	1	1	1	2	111	135	2
389	7	1122	113	1	1	1	3	111	122	2
390	7	1122	113	1	1	1	3	111	132	2
391	8	1122	113	1	1	1	2	111	138	2
392	13	1122	113	1	1	1	3	120	111	2
393	11	1121	112	1	1	1	5	111	136	2
394	12	1121	112	1	1	1	3	111	124	2
395	10	1122	113	1	1	1	3	111	131	2
396	7	1121	112	1	1	1	2	111	138	2
397	6	1132	113	1	1	1	2	111	131	1
398	10	1122	114	1	1	1	2	111	122	2
399	8	1122	114	1	1	1	4	111	136	2
400	12	1122	113	1	1	1	2	120	111	2
401	9	1122	114	1	1	1	3	120	124	2
402	12	1210	111	1	1	1	5	120	135	4
403	9	1122	114	1	1	1	5	111	137	2
404	11	1122	125	1	1	1	5	111	137	2
405	7	1131	112	1	1	3	3	111	136	1
406	11	1122	113	1	1	1	5	120	132	2
407	8	1122	114	1	1	1	5	111	136	2
408	10	1132	114	1	1	1	2	120	111	4
409	5	1131	112	1	1	3	3	120	131	1
410	7	1122	125	1	1	1	5	120	111	2
411	7	1122	113	1	1	1	3	111	122	2
412	7	1122	113	1	1	1	3	111	131	2
413	11	1122	113	1	1	1	5	111	137	2
414	8	1122	114	1	3	3	5	111	137	2
415	4	1110	113	1	1	1	2	111	139	1
416	4	1110	114	1	1	1	3	112	135	1
417	7	1121	112	1	1	1	5	111	122	2
418	4	1110	112	1	1	1	1	112	132	1
419	4	1110	114	1	1	1	3	111	135	1
420	5	1110	114	1	1	1	2	112	131	1
421	9	1122	114	1	1	1	1	111	131	2
422	6	1110	113	1	1	1	5	120	111	1
423	14	1121	112	1	1	1	2	111	139	2
424	11	1122	114	1	1	1	3	111	135	2
425	4	1110	114	1	1	1	2	112	135	1
426	8	1140	114	1	1	1	5	111	137	4
427	4	1110	114	1	1	1	3	112	111	1
428	4	1110	114	1	1	1	2	112	131	1
429	9	1122	114	1	1	1	1	111	138	2
430	13	1131	112	1	1	1	3	111	135	4
431	7	1210	111	1	3	3	1	111	135	2
432	10	1122	113	1	1	1	1	111	139	2
433	11	1121	112	1	1	1	5	111	133	2
434	6	1131	112	1	1	1	3	111	135	1
435	10	1122	114	1	1	1	2	111	122	2
436	7	1122	114	1	1	1	5	120	135	2
437	11	1122	126	1	1	1	5	111	137	2
438	9	1210	111	1	1	1	3	111	122	4
439	8	1122	114	1	1	1	3	111	132	2
440	7	1121	112	1	1	1	5	111	136	2
441	10	1122	114	1	1	1	2	111	131	2
442	8	1121	112	1	1	1	5	111	134	2
443	7	1210	111	1	1	1	5	111	137	1
444	5	1210	111	1	1	1	5	111	131	1
445	11	1121	112	1	1	1	3	120	131	2
446	6	1131	112	1	1	1	2	111	131	1
447	10	1122	113	1	1	1	3	111	138	2
448	8	1122	114	1	1	1	1	111	135	2
449	10	1122	125	1	1	1	5	111	133	2
450	4	1110	125	1	1	1	1	112	131	1
451	7	1210	111	1	1	1	3	111	136	1
452	6	1220	112	1	3	3	5	111	137	1
453	10	1122	113	1	1	1	2	111	138	2
454	4	1110	125	1	1	3	1	112	131	1
455	11	1122	113	1	1	1	5	111	137	2
456	9	1122	125	1	1	1	5	111	135	2
457	7	1122	113	1	1	1	3	111	139	2
458	7	1131	112	1	1	1	5	111	122	1
459	10	1122	125	1	1	1	5	120	138	2
460	8	1131	112	1	1	1	2	111	135	1
461	10	1122	114	1	1	1	1	111	122	2
462	11	1122	113	1	1	1	3	111	138	2
463	10	1122	126	1	1	1	3	120	139	2
464	7	1132	114	1	1	1	5	111	138	1
465	7	1210	111	1	1	3	2	111	132	1
466	5	1210	111	1	1	1	3	112	133	1
467	12	1121	112	1	1	1	1	111	131	2
468	8	1122	114	1	1	1	5	111	136	2
469	8	1121	112	1	1	1	3	111	124	2
470	12	1210	111	1	1	1	5	111	139	4
471	9	1210	111	1	1	1	1	111	122	1
472	7	1122	113	1	1	1	0	111	135	2
473	4	1110	114	1	1	1	2	111	139	1
474	7	1210	111	1	1	1	2	111	131	1
475	8	1122	114	1	1	1	3	120	111	2
476	5	1110	114	1	1	1	3	112	133	1
477	6	1210	111	1	1	1	5	112	137	1
478	10	1110	114	1	1	1	1	111	135	1
479	10	1122	125	1	1	1	5	111	137	2
480	5	1210	111	1	1	1	2	111	131	1
481	9	1122	114	1	1	1	3	111	136	2
482	5	1220	113	1	1	1	4	112	136	1
483	7	1122	125	1	1	1	3	111	136	2
484	11	1122	114	1	1	3	4	111	136	2
485	8	1210	111	1	1	1	5	111	122	4
486	8	1210	111	1	1	1	5	111	138	1
487	9	1140	114	1	1	1	5	111	122	4
488	9	1122	114	1	1	2	2	111	135	2
489	4	1110	125	1	1	1	2	112	131	1
490	6	1122	114	1	1	1	3	111	135	2
491	9	1122	114	1	1	1	3	111	133	2
492	12	1122	113	1	1	1	2	120	111	2
493	5	1110	113	1	1	1	5	111	137	1
494	8	1122	113	1	2	2	3	111	122	2
495	5	1131	112	1	1	1	3	111	138	1
496	8	1122	114	1	1	1	3	111	139	2
497	6	1210	111	1	1	1	5	111	138	1
498	8	1210	111	1	1	1	5	111	138	1
499	10	1210	111	1	1	1	5	111	136	1
500	8	1132	113	1	1	1	5	111	138	1
501	11	1121	112	1	1	1	2	111	133	2
502	11	1122	113	1	1	1	1	111	135	2
503	7	1122	114	1	1	1	3	120	131	2
504	8	1122	114	1	1	1	5	111	122	2
505	8	1122	114	1	1	1	3	111	133	2
506	10	1132	114	1	1	1	5	111	136	1
507	12	1121	112	1	1	1	5	111	137	2
508	12	1210	111	1	1	1	3	111	138	3
509	9	1122	114	1	1	1	2	111	131	2
510	5	1210	111	1	1	1	3	112	131	1
511	6	1210	111	1	1	1	3	111	133	1
512	8	1132	113	1	1	3	4	111	135	1
513	8	1121	112	2	1	1	5	111	137	2
514	10	1121	112	1	1	1	4	111	135	2
515	4	1110	114	1	1	1	2	112	131	1
516	9	1122	114	1	1	1	2	111	133	2
517	8	1122	114	1	1	1	3	111	111	2
518	7	1131	112	1	1	1	2	111	122	1
519	9	1122	114	1	1	1	2	120	111	2
520	10	1122	114	1	1	1	4	111	122	2
521	5	1110	114	1	1	1	3	111	136	1
522	9	1210	111	1	1	1	3	111	135	1
523	7	1132	113	1	1	1	3	111	122	1
524	7	1131	112	1	1	1	3	111	136	1
525	6	1210	111	1	1	1	5	111	135	1
526	8	1132	113	1	1	1	3	111	136	3
527	8	1122	125	1	1	1	5	111	138	2
528	10	1121	112	1	1	1	2	111	138	2
529	13	1121	112	1	1	1	3	111	131	2
530	8	1122	125	1	1	1	5	111	137	2
531	13	1122	113	1	1	1	1	120	111	2
532	10	1122	113	1	1	1	5	111	135	2
533	12	1121	112	1	1	1	2	111	139	2
534	5	1131	112	2	1	1	1	111	136	1
535	8	1122	125	1	1	1	3	111	134	2
536	5	1110	113	1	1	1	3	111	133	1
537	7	1210	111	1	1	3	3	111	135	1
538	8	1131	112	1	1	1	3	111	134	1
539	5	1110	113	1	1	1	2	111	122	1
540	8	1131	112	1	1	1	4	111	135	1
541	8	1122	126	1	1	1	3	111	135	2
542	5	1110	113	1	1	1	3	112	139	1
543	10	1122	125	1	1	1	5	111	135	2
544	10	1122	114	1	1	1	5	111	131	2
545	8	1122	114	1	1	1	3	111	131	2
546	11	1122	114	1	1	1	2	111	122	2
547	12	1122	113	1	1	1	2	111	136	2
548	8	1122	114	1	1	1	3	111	131	2
549	4	1110	125	1	1	3	2	111	131	1
550	8	1131	112	1	1	1	2	111	134	4
551	8	1122	125	1	1	1	5	111	124	2
552	11	1121	112	1	1	1	5	111	122	2
553	12	1121	112	1	1	1	3	111	131	2
554	8	1122	125	1	1	1	3	111	136	2
555	10	1122	114	1	1	1	3	111	122	2
556	10	1122	113	1	1	1	1	111	131	2
557	6	1121	112	1	1	1	5	111	136	2
558	5	1131	112	1	1	1	3	111	134	1
559	4	1110	126	1	1	1	2	111	131	1
560	6	1131	112	1	1	1	2	111	136	1
561	10	1122	114	1	1	1	5	111	137	2
562	7	1122	126	1	1	1	4	111	134	2
563	6	1131	112	1	1	1	5	111	139	1
564	5	1121	112	1	1	1	3	111	138	2
565	5	1110	125	1	1	1	3	111	131	1
566	11	1121	112	1	1	1	3	111	138	2
567	7	1122	125	1	1	1	2	111	135	2
568	5	1121	112	1	1	1	3	111	138	2
569	9	1210	111	1	1	1	5	111	138	1
570	10	1122	113	1	1	1	3	111	122	2
571	5	1131	112	1	1	2	4	111	122	1
572	9	1122	126	1	1	1	4	111	122	2
573	9	1122	113	1	1	2	3	111	135	2
574	10	1210	111	1	1	1	2	111	122	4
575	6	1122	113	1	1	1	3	111	131	2
576	8	1210	111	1	1	1	3	111	134	1
577	6	1122	113	1	1	1	3	111	131	2
578	9	1122	125	1	1	1	5	111	134	2
579	10	1122	114	1	1	1	5	120	135	2
580	11	1121	112	1	1	1	5	111	137	2
581	7	1122	114	1	1	1	5	111	137	2
582	9	1122	126	1	1	1	2	111	133	2
583	11	1122	113	1	1	1	3	111	131	2
584	5	1110	114	1	1	1	3	112	131	1
585	10	1122	114	1	1	1	1	120	111	2
586	11	1122	125	1	1	1	5	111	138	2
587	7	1122	113	1	1	1	3	111	135	2
588	8	1122	125	1	1	1	5	111	135	2
589	11	1121	112	1	1	1	4	111	135	2
590	12	1210	111	1	1	1	3	111	138	4
591	9	1122	114	1	1	1	5	111	136	2
592	10	1122	125	1	1	1	2	120	124	2
593	10	1132	113	2	1	3	5	111	135	4
594	7	1122	113	2	1	1	5	111	131	2
595	6	1110	114	1	1	1	1	111	131	1
596	10	1122	114	1	1	1	2	111	122	2
597	10	1122	125	1	1	1	5	111	131	2
598	6	1121	112	1	1	1	4	111	131	2
599	4	1110	126	1	1	1	3	112	132	1
600	6	1131	112	1	2	2	3	111	131	1
601	8	1122	125	1	1	1	3	111	134	2
602	8	1122	125	1	1	1	3	111	122	2
603	5	1110	113	1	1	1	2	111	139	1
